filename,label,latex,complexity
integral_0.png,integral,"\int_{0}^{b} {{{\frac{1}{{\cos(x)}}}}^{2}} \, dx",5
integral_1.png,integral,"\int_{a}^{b} {\cos\left({\sin(x)}\right)} \, dx",7
integral_2.png,integral,"\int_{1}^{\infty} {{{\sin\left({{\frac{1}{{\sin(x)}}}}\right)}}^{2}} \, dx",9
integral_3.png,integral,"\int_{-\infty}^{1} {\cos\left({\sqrt{1}}\right)} \, dx",8
integral_4.png,integral,"\int_{-\infty}^{0} {\sqrt{{{{{\sin\left({-1}\right)}}^{2}}}}} \, dx",8
integral_5.png,integral,"\int_{a}^{0} {{\cos(x)}^{2}} \, dx",4
integral_6.png,integral,"\int_{a}^{\infty} {{\sin(x)}^{2}} \, dx",5
integral_7.png,integral,"\int_{1}^{1} {{3}^{2}} \, dx",3
integral_8.png,integral,"\int_{-\infty}^{b} {\sqrt{{\cos(x)}}} \, dx",6
integral_9.png,integral,"\int_{1}^{\infty} \sin(x) \, dx",5
integral_10.png,integral,"\int_{1}^{1} {\frac{1}{{\cos(x)}}} \, dx",5
integral_11.png,integral,"\int_{1}^{1} {\frac{1}{{{\sin\left({{\ln\left({\frac{2}{2}}\right)}}\right)}}}} \, dx",11
integral_12.png,integral,"\int_{0}^{1} {\cos\left({\cos(x)}\right)} \, dx",7
integral_13.png,integral,"\int_{0}^{0} {\sin\left({x^{4}}\right)} \, dx",6
integral_14.png,integral,"\int_{0}^{\infty} \cos(x) \, dx",5
integral_15.png,integral,"\int_{0}^{b} {\cos\left({\sqrt{1}}\right)} \, dx",7
integral_16.png,integral,"\int_{a}^{\infty} {\sqrt{{{\frac{d}{dx} {\sin(x)}}}}} \, dx",7
integral_17.png,integral,"\int_{1}^{\infty} {{{\cos\left({{\frac{1}{{x^{4}}}}}\right)}}^{2}} \, dx",8
integral_18.png,integral,"\int_{a}^{0} {\sum_{i=1}^{n} {\frac{8}{5}}} \, dx",5
integral_19.png,integral,"\int_{0}^{b} {\frac{1}{{{\ln\left({-8}\right)}}}} \, dx",7
integral_20.png,integral,"\int_{a}^{b} \frac{7}{9} \, dx",4
